q1,v1,q2,v2,cost
0.0,0.0,0.0,0.0,6.827566169738588e-25
0.3141592653589793,0.3141592653589793,0.8,0.8,33.07177729222075
0.6283185307179586,0.6283185307179586,1.6,1.6,132.28710916888292
0.9424777960769379,0.9424777960769379,2.4000000000000004,2.4000000000000004,297.6459956299867
1.2566370614359172,1.2566370614359172,3.2,3.2,529.1484366755319
1.5707963267948966,1.5707963267948966,4.0,4.0,826.7944323055189
1.8849555921538759,1.8849555921538759,4.800000000000001,4.800000000000001,1190.5839825199469
2.199114857512855,2.199114857512855,5.6000000000000005,5.6000000000000005,1620.5170873188165
2.5132741228718345,2.5132741228718345,6.4,6.4,2116.5937467021276
2.827433388230814,2.827433388230814,7.2,7.2,2678.8139606698796
3.141592653589793,3.141592653589793,8.0,8.0,3307.1777292220722
